Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Energy Efficiency [GFlops/Watts],Memory,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
302,262,62,453,Spartan GPU Partitions,"PowerEdge R750XA, Intel Xeon Platinum 8462Y+ 32C 2.8GHz, NVIDIA H100 PCIe 80GB, 100G Ethernet, RHEL 7.4",The University of Melbourne,DELL,Australia,2022,Academic,"50,752","47,520","3,863.00","4,506.88","1,802,240","1,007,616",,,,,,Cluster,Xeon Gold 6326 16C 2.9GHz,Intel Ice Lake,"2,900",RHEL 7.4,Linux,NVIDIA H100 PCIe 80GB,16,Xeon Gold 63xx (Ice Lake),PowerEdge R750XA,Dell PowerEdge Cluster,Gigabit Ethernet,100G Ethernet,Oceania,"50,985",180232
303,263,61,165,Gemini,"PowerEdge XE8545, AMD EPYC 74F3 24C 3.2GHz, NVIDIA A100, Infiniband",Petróleo Brasileiro S.A,DELL,Brazil,2023,Industry,"42,240","38,016","3,861.00","6,864.00","1,752,064",,,287.00,Submitted,13.45,,Cluster,AMD EPYC 74F3 24C 3.2GHz,AMD Zen-3 (Milan),"3,200",RHEL 7.8,Linux,NVIDIA A100,24,AMD Zen-3 (Milan),PowerEdge XE8545,Dell PowerEdge Cluster,Infiniband,Infiniband,South America,"50,967",180174
304,,65,304,SSC-24 Energy Module,"HPE Cray XD670, Xeon Gold 6430 32C 2.1GHz, NVIDIA H100 SXM5 80GB, Infiniband NDR400, RHEL 9.2",Samsung Electronics,HPE,South Korea,2024,Industry,"11,200","10,560","3,824.00","4,843.01","860,160",,,68.98,Submitted,55.44,,Cluster,Xeon Gold 6430 32C 2.1GHz,Intel Sapphire Rapids,"2,100",RHEL 9.2,Linux,NVIDIA H100 SXM5 80GB,32,Xeon Gold (Sapphire Rapids),HPE Cray XD670,HPE Cray XD,Infiniband,Infiniband NDR400,Asia,"50,903",180380
305,264,57,106,VEGA HPC CPU,"BullSequana XH2000, AMD EPYC 7H12 64C 2.6GHz, Mellanox InfiniBand HDR100",IZUM,EVIDEN,Slovenia,2021,Research,"122,880",,"3,822.00","5,367.00","5,140,224",,48.60,,,,,Cluster,AMD EPYC 7H12 64C 2.6GHz,AMD Zen-2 (Rome),"2,600",Linux,Linux,None,64,AMD Zen-2 (Rome),BullSequana XH2000,BullSequana,Infiniband,InfiniBand HDR100,Europe,"50,864",179936
306,265,60,141,Delta,"Apollo 6500, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100, Slingshot-10",NCSA,HPE,United States,2022,Academic,"49,600","43,200","3,812.00","8,050.88","1,448,064",,,,,,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),"2,450",RHEL 8.4,Linux,NVIDIA A100,64,AMD Zen-3 (Milan),Apollo 6500,HPE Apollo,Gigabit Ethernet,Slingshot-10,North America,"48,420",180121
307,266,60,142,hotlum,"HPE Cray EX, AMD EPYC 7763 64C 2.45GHz, Slingshot-11",Hewlett Packard Enterprise,HPE,France,2022,Vendor,"116,736",,"3,807.96","4,576.05","6,856,320",,,,,,,MPP,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),"2,450",HPE Cray OS,Linux,None,64,AMD Zen-3 (Milan),HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-11,Europe,"50,928",180094
308,268,51,39,Pratyush,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect",Indian Institute of Tropical Meteorology,HPE,India,2018,Research,"119,232",,"3,763.94","4,006.20","5,935,104",,,"1,353.23",Submitted,2.78,,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,"2,100",Cray Linux Environment,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect,Asia,"50,296",179416
309,269,53,54,,"Apollo 6500 XL270d Gen10, Xeon Gold 6150/6152 18C 2.7GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2",SAKURA Internet Inc. / Prunus Solutions Inc.,HPE,Japan,2019,Industry,"65,208","61,440","3,712.00","5,365.09","1,769,472",,87.12,,,,,Cluster,Xeon Gold 6150 18C 2.7GHz,Intel Skylake,"2,700",CentOS,Linux,NVIDIA Tesla V100 SXM2,18,Xeon Gold (Skylake),Apollo 6500 XL270d Gen10,HPE Apollo,Infiniband,Mellanox InfiniBand EDR,Asia,"50,809",179696
310,270,56,79,LLNL Ruby,"Supermicro SYS-2029TP-HTR, Xeon Platnium 8276L 28C 2.2GHz, Cornelis Networks Omni-Path",Lawrence Livermore National Laboratory,Supermicro,United States,2020,Research,"85,568",,"3,700.15","6,023.99","5,754,624",,,,,,,Cluster,Xeon Platinum 8276L 28C 2.2GHz,Intel Cascade lake,"2,200",Linux/TOSS,Linux,None,28,Xeon Platinum 82xx (Cascade Lake),Supermicro SYS-2029TP-HTR,Supermicro SuperServer,Omnipath,Cornelis Networks Omni-Path,North America,"48,247",179866
311,271,53,62,Orion,"PowerEdge C6420, Xeon Gold 6148 20C 2.4GHz, Infiniband HDR",Mississippi State University,DELL,United States,2019,Academic,"70,560",,"3,665.72","5,419.01","4,298,880",,,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",Linux,Linux,None,20,Xeon Gold (Skylake),PowerEdge C6420,Dell PowerEdge Cluster,Infiniband,Infiniband HDR,North America,"48,371",179690
312,272,57,111,IARA,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 SXM4 40 GB, Infiniband",SiDi,Nvidia,Brazil,2021,Research,"24,800","21,600","3,657.00","4,130.40","1,392,158",,,,,,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",Ubuntu,Linux,NVIDIA A100 SXM4 40 GB,64,AMD Zen-2 (Rome),NVIDIA DGX A100,NVIDIA DGX,Infiniband,Infiniband,South America,"50,863",179931
313,273,58,132,,"ThinkSystem SD650 V2, Xeon Platinum 8358 32C 2.6GHz, Mellanox HDR Infiniband",Shanghai Jiao Tong University,Lenovo,China,2021,Academic,"59,392",,"3,656.78","4,941.41","5,529,600",,,,,,,Cluster,Xeon Platinum 8358 32C 2.6GHz,Intel Ice Lake,"2,600",Linux,Linux,None,32,Xeon Platinum 83xx (Ice Lake),ThinkSystem SD650 V2,Lenovo ThinkSystem,Infiniband,Mellanox HDR Infiniband,Asia,"50,907",180021
314,274,64,274,Grete Phase 3,"MEGWARE GPU Server System, Xeon Platinum 8468 48C 2.1GHz, Nvidia H100 SXM5 94Gb, Infiniband HDR, Rocky Linux 8.10",NHR@Göttingen,MEGWARE,Germany,2024,Academic,"15,600","13,200","3,647.00","6,861.28","1,056,768",,,79.62,Submitted,45.81,,Cluster,Xeon Platinum 8468 48C 2.1GHz,Intel Sapphire Rapids,"2,100",Rocky Linux 8.10,Linux,Nvidia H100 SXM5 94Gb,48,Xeon Platinum (Sapphire Rapids),MEGWARE GPU Server System,MEGWARE Cluster,Infiniband,Infiniband HDR,Europe,"50,947",180302
315,275,62,206,NA10B,"Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet",Software Company,Lenovo,United States,2023,Industry,"184,320",,"3,641.57","7,225.34","9,839,200",,,,,,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),"2,450",Linux,Linux,None,64,AMD Zen-3 (Milan),ThinkSystem SR665 V2,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,North America,"50,969",180197
316,276,62,207,NA10A,"Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet",Software Company,Lenovo,United States,2023,Industry,"184,320",,"3,641.57","7,225.34","9,839,200",,,,,,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),"2,450",Linux,Linux,None,64,AMD Zen-3 (Milan),ThinkSystem SR665 V2,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,North America,"50,969",180198
317,277,62,208,NA10,"Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet",Software Company,Lenovo,United States,2023,Industry,"184,320",,"3,641.57","7,225.34","9,839,200",,,,,,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),"2,450",Linux,Linux,None,64,AMD Zen-3 (Milan),ThinkSystem SR665 V2,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,North America,"50,969",180199
318,278,52,52,Joule 2.0,"HP ProLiant XL170r/XL190r/DL360 Gen10, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path, NVIDIA Tesla P100",DOE/National Energy Technology Laboratory,HPE,United States,2018,Research,"86,400","11,200","3,608.62","5,750.78","4,049,664",,,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",Linux,Linux,NVIDIA Tesla P100,20,Xeon Gold (Skylake),HP ProLiant XL170r/XL190r/DL360 Gen10,HP Cluster,Omnipath,Intel Omni-Path,North America,"50,452",179599
319,279,58,403,Snellius Phase 1 GPU,"ThinkSystem SD650-N V2, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR",SURF,Lenovo,Netherlands,2022,Research,"12,960","7,776","3,603.00","6,014.13","1,193,472",,54.53,205.35,Submitted,17.55,,Cluster,Xeon Platinum 8360Y 36C 2.4GHz,Intel Ice Lake,"2,400",CentOS Linux 8.4,Linux,NVIDIA A100 SXM4 40 GB,36,Xeon Platinum 83xx (Ice Lake),ThinkSystem SD650-N V2,Lenovo ThinkSystem,Infiniband,Infiniband HDR,Europe,"50,900",180033
320,280,51,53,Niagara,"ThinkSystem SD530, Xeon Gold 6248 20C 2.5GHz, InfiniBand HDR100",SciNet/University of Toronto/Compute Canada,Lenovo,Canada,2017,Research,"80,640",,"3,599.66","6,253.06","3,276,672",,,919.42,Submitted,3.92,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",CentOS,Linux,None,20,Xeon Gold (Skylake),ThinkSystem SD530,Lenovo ThinkSystem,Infiniband,4xEDR Infiniband,North America,"50,206",179408
321,281,59,323,Fritz,"Megware D50TNP, Xeon Platinum 8360Y 36C 2.4GHz, InfiniBand HDR100",Universitaet Erlangen - Regionales Rechenzentrum Erlangen,MEGWARE,Germany,2021,Academic,"71,424",,"3,578.03","5,452.18","4,543,488",,53.37,671.97,Submitted,5.32,,Cluster,Xeon Platinum 8360Y 36C 2.4GHz,Intel Ice Lake,"2,400",AlmaLinux 8.5,Linux,None,36,Xeon Platinum 83xx (Ice Lake),Megware D50TNP,MEGWARE Cluster,Infiniband,InfiniBand HDR100,Europe,"49,515",180074
322,282,44,11,,"Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40",Government,HPE,United States,2014,Government,"72,800","62,400","3,577.00","6,131.84","2,336,000",,,"1,498.90",Submitted,2.39,,Cluster,Xeon E5-2660v2 10C 2.2GHz,Intel IvyBridge,"2,200",Linux,Linux,NVIDIA Tesla K40,10,Intel Xeon E5 (IvyBridge),Cray CS-Storm,Cray CS-Storm,Infiniband,Infiniband FDR,North America,"50,046",178445
323,283,45,15,,"Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40",Government,HPE,United States,2015,Government,"72,800","62,400","3,577.00","6,131.84","2,336,000",,,"1,498.90",Submitted,2.39,,Cluster,Xeon E5-2660v2 10C 2.2GHz,Intel IvyBridge,"2,200",Linux,Linux,NVIDIA Tesla K40,10,Intel Xeon E5 (IvyBridge),Cray CS-Storm,Cray CS-Storm,Infiniband,Infiniband FDR,North America,"50,046",178519
324,284,59,143,Anvil,"PowerEdge 6525, AMD EPYC 7763 64C 2.45GHz, InfiniBand HDR 100",Purdue University,DELL,United States,2022,Academic,"127,488",,"3,563.10","4,997.53","5,492,025",,,792.00,Submitted,4.50,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),"2,450",Rocky Linux 8.4,Linux,None,64,AMD Zen-3 (Milan),PowerEdge 6525,Dell PowerEdge Cluster,Infiniband,InfiniBand HDR100,North America,"48,657",180085
325,285,60,155,NOBZ1,"ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, Broadcom",Software Company MBZ,Lenovo,Brazil,2022,Industry,"80,640",,"3,545.65","6,967.30","4,293,120",,,,,,,Cluster,Xeon Platinum 8280 28C 2.7GHz,Intel Cascade lake,"2,700",Linux,Linux,None,28,Xeon Platinum 82xx (Cascade Lake),ThinkSystem C2397,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,South America,"50,934",180098
326,286,60,156,AIC1,"ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, Broadcom",Software Company MIR,Lenovo,Ireland,2022,Industry,"80,640",,"3,545.65","6,967.30","4,293,120",,,,,,,Cluster,Xeon Platinum 8280 28C 2.7GHz,Intel Cascade lake,"2,700",Linux,Linux,None,28,Xeon Platinum 82xx (Cascade Lake),ThinkSystem C2397,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,Europe,"50,910",180104
327,287,58,130,B1A,"ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet",Software Company MUS,Lenovo,United States,2021,Industry,"80,640",,"3,545.65","6,967.30","4,293,120",,,,,,,Cluster,Xeon Platinum 8280 28C 2.7GHz,Intel Cascade lake,"2,700",Linux,Linux,None,28,Xeon Platinum 82xx (Cascade Lake),ThinkSystem C2397,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,North America,"50,905",179989
328,288,61,185,Geely Wise Star-Dubhe,"Lenovo ThinkSystem SD650 V3, Xeon Gold 6458Q 32C 3.1GHz, Infiniband HDR",Geely Auto Group,Lenovo,China,2023,Industry,"40,960",,"3,536.02","4,063.23","5,724,200",,,,,,,Cluster,Xeon Gold 6458Q 32C 3.1GHz,Intel Sapphire Rapids,"3,100",Linux,Linux,None,32,Xeon Gold (Sapphire Rapids),ThinkSystem SD650 V3,Lenovo ThinkSystem,Infiniband,Infiniband HDR,Asia,"50,970",180160
329,289,56,85,Altair,"CH121L V5 Liquid-Cooled, Xeon Platinum 8268 24C 2.9GHz, Infiniband EDR",PCSS Poznan,Huawei,Poland,2020,Academic,"63,360",,"3,533.61","5,879.81","5,216,256",,,829.00,Submitted,4.26,,Cluster,Xeon Platinum 8268 24C 2.9GHz,Intel Cascade lake,"2,900",CentOS,Linux,None,24,Xeon Platinum 82xx (Cascade Lake),CH121L V5 Liquid-Cooled,Huawei Cluster,Infiniband,Infiniband EDR,Europe,"50,183",179903
330,290,62,221,Forerunner 1,"ASUS RS723Q-E11-RS24, Xeon Platinum 8480+ 56C 2GHz, Infiniband NDR200",National Center for High Performance Computing,ASUSTeK / ASUS Cloud / Taiwan Web Service Corporation,Taiwan,2023,Research,"62,496",,"3,532.92","3,999.74","6,192,371",,,614.87,Submitted,5.75,,Cluster,Xeon Platinum 8480+ 56C 2GHz,Intel Sapphire Rapids,"2,000",RHEL,Linux,None,56,Xeon Platinum (Sapphire Rapids),ASUS ESC4000-E11,Asus Cluster,Infiniband,Infiniband NDR200,Asia,"50,977",180235
331,291,59,146,ATOS THX.A.B,"BullSequana XH2000, Xeon Platinum 8358 32C 2.6GHz, NVIDIA A100 SXM4 64 GB, Quad-rail NVIDIA HDR100 Infiniband",Atos,EVIDEN,France,2022,Vendor,"25,056","23,328","3,505.00","4,982.17","1,370,880",,,86.06,Submitted,40.73,,Cluster,Xeon Platinum 8358 32C 2.6GHz,Intel Ice Lake,"2,600",Linux,Linux,NVIDIA A100 SXM4 64 GB,32,Xeon Platinum 83xx (Ice Lake),BullSequana XH2000,BullSequana,Infiniband,Quad-rail NVIDIA HDR100 Infiniband,Europe,"50,630",180070
332,292,56,86,Unizah-II,"Cray CS500, Xeon Gold 6248 20C 2.5GHz, 10G Ethernet",Saudi Aramco,HPE,Saudi Arabia,2020,Industry,"85,560",,"3,487.91","6,844.80","9,471,744",,,,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,"2,500",RHEL 7.7,Linux,None,20,Xeon Gold 62xx (Cascade Lake),Cray CS500,Cray CS,Gigabit Ethernet,10G Ethernet,Asia,"48,751",179884
333,293,56,87,Ohtaka,"PowerEdge C6525, AMD EPYC 7702 64C 2GHz, Mellanox HDR Infiniband","The Institute for Solid State Physics, The University of Tokyo",DELL,Japan,2020,Research,"215,040",,"3,486.10","6,881.28","5,811,840",,,,,,,Cluster,AMD EPYC 7702 64C 2GHz,AMD Zen-2 (Rome),"2,000",Red Hat Enterprise Linux,Linux,None,64,AMD Zen-2 (Rome),PowerEdge C6525,Dell PowerEdge Cluster,Infiniband,Mellanox HDR Infiniband,Asia,"50,562",179882
334,294,60,162,BA1A,"ThinkSystem HR650X, Intel Xeon Gold 8350C 32C 2.6GHz, 25G Ethernet",Service Provider B,Lenovo,China,2022,Industry,"81,920",,"3,476.28","6,815.74","5,724,288",,,,,,,Cluster,Intel Xeon Gold 8350C 32C 2.6GHz,Intel Cascade lake,"2,600",Linux,Linux,None,32,Xeon Platinum 82xx (Cascade Lake),ThinkSystem HR650X,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Asia,"50,941",180113
335,295,58,135,CARO,"NEC HPC2808Ri-2, AMD EPYC 7702 64C 2GHz, InfiniBand HDR100",German Aerospace Center,NEC,Germany,2021,Research,"174,592",,"3,458.30","5,586.94","5,638,464",192,66.01,,,,,Cluster,AMD EPYC 7702 64C 2GHz,AMD Zen-2 (Rome),"2,000",Rocky Linux 8.4,Linux,None,64,AMD Zen-2 (Rome),NEC HPC2808Ri-2,NEC Cluster,Infiniband,InfiniBand HDR100,Europe,"50,899",180038
336,296,56,88,davinci-1,"BullSequana X, AMD EPYC 7402 24C 2.8GHz, NVIDIA A100, Mellanox HDR Infiniband",Leonardo SpA,EVIDEN,Italy,2020,Others,"38,400","34,560","3,449.00","6,412.03","1,290,240",,108.67,,,,,Cluster,AMD EPYC 7402 24C 2.8GHz,AMD Zen-2 (Rome),"2,800",Linux,Linux,NVIDIA A100,24,AMD Zen-2 (Rome),BullSequana X,BullSequana,Infiniband,Mellanox HDR Infiniband,Europe,"50,840",179877
337,297,59,200,Tenaya,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11",DOE/NNSA/LLNL,HPE,United States,2022,Research,"22,656","21,120","3,411.16","4,369.15",,,,,,,,MPP,AMD Optimized 3rd Generation EPYC 64C 2GHz,AMD Zen-3 (Milan),"2,000",TOSS 4 Linux,Linux,AMD Instinct MI250X,64,AMD Zen-3 (Milan),HPE Cray EX235a,HPE Cray EX,Gigabit Ethernet,Slingshot-11,North America,"49,763",180057
338,298,64,298,SEAS H100,"ThinkSystem SD665-N V3, AMD EPYC 9454 48C 2.75GHz, NVIDIA H100 80GB, Infiniband HDR, Linux",Harvard University,Lenovo,United States,2024,Academic,"13,104","11,088","3,375.00","4,378.75","902,144",,,80.55,Submitted,41.90,,Cluster,AMD EPYC 9454 48C 2.75GHz,AMD Zen-4 (Genoa),"2,750",Linux,Linux,NVIDIA H100 80GB,48,AMD Zen-4 (Genoa),ThinkSystem SD665-N V3,Lenovo ThinkSystem,Infiniband,Infiniband HDR,North America,"51,059",180301
339,299,55,74,Cedar (GPU),"PowerEdge C6420, Xeon Silver 4216 16C 2.1GHz, NVIDIA Tesla V100, Intel Omni-Path",Simon Fraser University/Compute Canada,ACTION,Canada,2020,Academic,"67,584","61,440","3,371.00","5,834.40","1,780,800",,,310.00,Submitted,10.87,,Cluster,Xeon Silver 4216 16C 2.1GHz,Intel Skylake,"2,100",CentOS,Linux,NVIDIA Tesla V100,16,Xeon Silver (Skylake),PowerEdge C6420,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,North America,"50,722",179859
340,300,61,196,Molecular Simulator,"Apollo 2000 Gen10 Plus, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100, InfiniBand HDR 100",Institute for Molecular Science,HPE,Japan,2023,Research,"106,496",,"3,340.29","4,174.64","4,785,024",,57.83,,,,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),"2,450",Rocky Linux 8.7,Linux,None,64,AMD Zen-3 (Milan),Apollo 6500,HPE Apollo,Infiniband,InfiniBand HDR100,Asia,"48,473",180177
341,301,59,199,ASPIRE 2A (GPU Partition),"HPE Cray EX235n, Apollo 6500, AMD EPYC 7713 64C 2GHz, NVIDIA A100 SXM4 40 GB, Slingshot-10",National Supercomputing Centre Singapore,HPE,Singapore,2022,Research,"43,648","38,016","3,328.00","6,483.88","1,263,744",,85.86,,,,,Cluster,AMD EPYC 7713 64C 2GHz,AMD Zen-3 (Milan),"2,000",RHEL 8.3,Linux,NVIDIA A100 SXM4 40 GB,64,AMD Zen-3 (Milan),Apollo 6500 XL675d,HPE Apollo,Gigabit Ethernet,Slingshot-10,Asia,"50,631",180077
342,302,61,198,NA4,"Lenovo ThinkSystem SR650 V2, Xeon Platinum 8358 32C 2.6GHz, 100G Ethernet",Software Company,Lenovo,United States,2023,Industry,"85,248",,"3,320.05","7,092.63","9,463,000",,,,,,,Cluster,Xeon Platinum 8358 32C 2.6GHz,Intel Ice Lake,"2,600",Linux,Linux,None,32,Xeon Platinum 83xx (Ice Lake),ThinkSystem SR650 V2,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,North America,"50,969",180153
343,303,62,234,NA4A,"Lenovo ThinkSystem SR650 V2, Xeon Platinum 8358 32C 2.6GHz, 100G Ethernet",Software Company,Lenovo,United States,2023,Industry,"85,248",,"3,320.05","7,092.63","9,463,000",,,,,,,Cluster,Xeon Platinum 8358 32C 2.6GHz,Intel Ice Lake,"2,600",Linux,Linux,None,32,Xeon Platinum 83xx (Ice Lake),ThinkSystem SR650 V2,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,North America,"50,969",180189
344,304,45,16,Topaz,"SGI ICE X, Xeon E5-2699v3 18C 2.3GHz, Infiniband FDR",ERDC DSRC,HPE,United States,2015,Research,"124,200",,"3,318.95","4,570.56","5,779,200",,,"5,175.00",Submitted,0.64,,Cluster,Xeon E5-2699v3 18C 2.3GHz,Intel Haswell,"2,300",SUSE Linux Enterprise Server 11,Linux,None,18,Intel Xeon E5 (Haswell),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,North America,"47,771",178523
345,305,49,32,,"NVIDIA DGX-1/Relion 2904GT, Xeon E5-2698v4 20C 2.2GHz/ E5-2650v4, Infiniband EDR, NVIDIA Tesla P100/Quadro GP100",Facebook,Self-made,United States,2017,Industry,"60,512","55,552","3,307.00","4,896.51","1,419,545",,,349.50,Submitted,9.46,,Cluster,Xeon E5-2698v4 20C 2.2GHz,Intel Broadwell,"2,200",Ubuntu,Linux,NVIDIA Tesla P100,20,Intel Xeon E5 (Broadwell),NVIDIA DGX-1/Relion 2904GT,Hybrid Cluster,Infiniband,Infiniband EDR,North America,"50,701",179068
346,306,58,140,Topaze-cpu,"BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, InfiniBand HDR100",Commissariat a l'Energie Atomique (CEA)/CCRT,EVIDEN,France,2021,Research,"110,592",,"3,261.02","4,335.21","3,709,440",,42.64,,,,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),"2,450",Linux,Linux,None,64,AMD Zen-3 (Milan),BullSequana XH2000,BullSequana,Infiniband,InfiniBand HDR100,Europe,"50,207",180014
347,307,51,47,Damson,"Bull Sequana X1000, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR",AWE,EVIDEN,United Kingdom,2017,Research,"113,832",,"3,243.41","3,791.58","5,543,424",,,"1,134.00",Submitted,2.86,,Cluster,Xeon E5-2697v4 18C 2.3GHz,Intel Broadwell,"2,300",bullx SCS,Linux,None,18,Intel Xeon E5 (Broadwell),BullSequana X1000,BullSequana,Infiniband,Infiniband EDR,Europe,"47,363",179409
348,308,54,69,LLNL/NNSA CTS-1 MAGMA,"Relion Cluster, Intel Xeon Platinum 9242 48C 2.3GHz, Intel Omni-Path",Lawrence Livermore National Laboratory,Penguin Computing,United States,2019,Research,"62,400",,"3,241.24","4,592.64","5,177,088",,,887.00,Submitted,3.65,,Cluster,Intel Xeon Platinum 9242 48C 2.3GHz,Intel Cascade lake,"2,300",Linux/TOSS,Linux,None,48,Xeon Platinum 92xx (Cascade Lake),Relion Cluster,Penguin Computing Cluster,Omnipath,Intel Omni-Path,North America,"48,247",179774
349,309,51,48,Mustang,"HPE SGI 8600, Xeon Platinum 8168 24C 2.7GHz, Intel Omni-Path",Air Force Research Laboratory,HPE,United States,2018,Government,"55,296",,"3,221.40","4,777.57","4,866,048",,,,,,,Cluster,Xeon Platinum 8168 24C 2.7GHz,Intel Skylake,"2,700",Red Hat Enterprise Linux,Linux,None,24,Xeon Platinum (Skylake),HPE SGI 8600,HPE SGI 8600,Omnipath,Intel Omni-Path,North America,"49,284",179426
350,310,63,271,NA13A,"Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet",Software Company,Lenovo,United States,2023,Industry,"156,160",,"3,201.53","6,121.47","8,746,000",,,,,,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),"2,450",Linux,Linux,None,64,AMD Zen-3 (Milan),ThinkSystem SR665 V2,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,North America,"50,969",180249
351,311,63,272,NA13,"Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet",Software Company,Lenovo,United States,2023,Industry,"156,160",,"3,201.53","6,121.47","8,746,000",,,,,,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),"2,450",Linux,Linux,None,64,AMD Zen-3 (Milan),ThinkSystem SR665 V2,Lenovo ThinkSystem,Gigabit Ethernet,100G Ethernet,North America,"50,969",180250
352,312,58,214,"Big Red 200, GPU Partition","HPE Cray EX235n, AMD EPYC 7713 64C 2GHz, NVIDIA A100, Slingshot-10",Indiana University,HPE,United States,2021,Academic,"31,744","27,648","3,194.00","4,006.14","1,124,352",,,,,,,MPP,AMD EPYC 7713 64C 2GHz,AMD Zen-3 (Milan),"2,000",SLES15 SP2,Linux,NVIDIA A100,64,AMD Zen-3 (Milan),HPE Cray EX 235n,HPE Cray EX,Gigabit Ethernet,Slingshot-10,North America,"48,098",180020
353,313,43,12,HPC2,"iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, NVIDIA K20x",Eni S.p.A.,IBM,Italy,2014,Industry,"72,000","42,000","3,188.00","4,605.00","3,978,240",,48.90,"1,227.00",Submitted,2.60,,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,"2,800",Linux,Linux,NVIDIA Tesla K20x,10,Intel Xeon E5 (IvyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Europe,"50,489",178425
